Area,Month,ID,Name,Type,Period_1_20,Period_21_30
"BANDUNG","JUL","3213202502","GUDANG WITEL BANDUNG","GUDANG","OPEN","NONE"
"BANDUNG","JUL","3213205228","GUDANG GEDUNG POOL KBM","GUDANG","OPEN","NONE"
"BANDUNG","JUL","3213201801","STO UJUNG BERUNG","OFFICE","OPEN","NONE"
"BANDUNG","JUL","3213202503","GEDUNG KOSONG WITEL BANDUNG","IDLE","OPEN","NONE"
"BANDUNG","JUL","3223200101","WITEL BANDUNG BARAT","OFFICE","APPROVED","NOT APPROVED"
"BANDUNG","JUL","3223200103","GEDUNG KOSONG WITEL BANDUNG BARAT","IDLE","APPROVED","NOT APPROVED"
"BANDUNG","JUL","3213200901","RUMDIN WASTUKENCANA","OFFICE","APPROVED","NOT APPROVED"
"BANDUNG","JUL","3213202501","PLASA / WITEL BANDUNG / STO LEMBONG","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3213201003","HALAMAN STO CIJAURA","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3213201102","HALAMAN STO HEGARMANAH","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3213201203","HALAMAN STO KOPO","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3213201603","HALAMAN STO TEGALEGA","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3223201303","HALAMAN STO CILILIN","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3223202304","HALAMAN STO SOREANG","HALAMAN","SUBMITTED","NONE"
"BANDUNG","AGU","3213200103","GUDANG PLASA SUPRATMAN","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213200201","GUDANG ARNET AHMAD YANI","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213200401F","GMP BANDUNG","SARANA OLAHRAGA","SUBMITTED","NONE"
"BANDUNG","AGU","3213200403","GUDANG GMP BANDUNG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213200405","GMP BANDUNG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3213200702","GUDANG PLASA SUMEDANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213200902","RUMDIN WASTUKENCANA","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3213201402","GUDANG STO SUMEDANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213201502","GUDANG TANJUNGSARI","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213202202","TELKOM CISANGGARUNG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3213202302","GUDANG DHARMA WANITA","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213202502","GUDANG WITEL BANDUNG","GUDANG","OPEN","NONE"
"BANDUNG","AGU","3213202504","WITEL BANDUNG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3213203703","GUDANG GT SEKAR","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213204704","GT BENGAWAN 81","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3213205228","GUDANG GEDUNG POOL KBM","GUDANG","OPEN","NONE"
"BANDUNG","AGU","3213205229","GUDANG GEDUNG AULA","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223200202","EKS CATEL PANGALENGAN","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3223200303","EKS CATEL PADALARANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223200602","GUDANG PLASA BAROS","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223200603","PLASA BAROS","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3223201403","GUDANG STO CIMAHI","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223201702","GUDANG CIWIDEY","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223201902","GUDANG LEMBANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223201903","STO LEMBANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3223202003","GUDANG MAJALAYA","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223202302","GUDANG SOREANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223202602","STO BOJONGWARU","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3223202603","GUDANG BOJONGWARU","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","AGU","3223202804","MESS PALAPA SOREANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","AGU","3213200102","PLASA SUPRATMAN","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213200104","GEDUNG KOSONG PLASA SUPRATMAN","IDLE","OPEN","NONE"
"BANDUNG","AGU","3213200202","ARNET AHMAD YANI","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213200401D","GMP BANDUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200401E","GMP BANDUNG","RUANG IBADAH","SUBMITTED","NONE"
"BANDUNG","AGU","3213200404","GEDUNG KOSONG GMP BANDUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200701","PLASA SUMEDANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200703","GEDUNG KOSONG PLASA SUMEDANG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201001","PLASA / STO CIJAURA","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201002","GEDUNG KOSONG CIJAURA","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201101","STO HEGARMANAH","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201201","PLASA / STO KOPO","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201202","GEDUNG KOSONG KOPO","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201301","STO SADANG SERANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201401","STO SUMEDANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201501","STO TANJUNGSARI","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201601","STO TEGALEGA","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201602","GEDUNG KOSONG TEGALEGA","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201701","STO TURANGGA","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213201801","STO UJUNG BERUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201802","PLASA UJUNG BERUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201803","GEDUNG KOSONG PLASA UJUNG BERUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213201804","GEDUNG KOSONGSTO UJUNG BERUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213202301","TELKOM DHARMA WANITA","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213202403","GT WAHIDIN","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213202503","GEDUNG KOSONG WITEL BANDUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213204703","GT BENGAWAN 81","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213205201","STO / PLASA GEGER KALONG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213205231","GEDUNG KOSONG STO GEGERKALONG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200101","WITEL BANDUNG BARAT","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200103","GEDUNG KOSONG WITEL BANDUNG BARAT","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200201","EKS CATEL PANGALENGAN","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200301","PLASA / EKS CATEL PADALARANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200302","GEDUNG KOSONG PADALARANG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200601","PLASA BAROS","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200801","PLASA / STO BANJARAN","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200901","STO BATUJAJAR","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200902","GEDUNG KOSONG BATUJAJAR","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201001","STO CICALENGKA","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201002","GEDUNG KOSONG CICALENGKA","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201101","STO CIHALIWUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201102","GEDUNG KOSONG CIHALIWUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201201","STO CIKALONG WETAN","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201301","STO CILILIN","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201302","GEDUNG KOSONG CILILIN","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201401","STO CIMAHI","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201402","GEDUNG KOSONG STO CIMAHI","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201501","STO CIPATAT","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201601","STO CISARUA","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3223201701","STO CIWIDEY","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201703","GEDUNG KOSONG CIWIDEY","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201801","STO GUNUNG HALU","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223201901","STO LEMBANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202001","STO MAJALAYA","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202002","GEDUNG KOSONG MAJALAYA","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202101","STO NANJUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202201","PLASA / STO RANCAEKEK","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202202","GEDUNG KOSONG RANCAEKEK","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202301","PLASA / STO SOREANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202303","GEDUNG KOSONG SOREANG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202801","MESS PALAPA SOREANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3223202803","GEDUNG KOSONG PALAPA SOREANG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213205201A","STO / PLASA GEGER KALONG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3223200301A","PLASA / EKS CATEL PADALARANG","IDLE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200203","KANTOR CICADAS","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200204","STO CICADAS","POP ETC","OPEN","NONE"
"BANDUNG","AGU","3213200301","DIVA KEBON WARU","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213200401B","GMP BANDUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200401C","GMP BANDUNG","POP ETC","SUBMITTED","NONE"
"BANDUNG","AGU","3213201901","TELKOM ACI GD. B","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213202001","TELKOM ACI GD. A","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213203702","GT SEKAR","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213200401A","GMP BANDUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200901","RUMDIN WASTUKENCANA","OFFICE","OPEN","NONE"
"BANDUNG","AGU","3213202501","PLASA / WITEL BANDUNG / STO LEMBONG","OFFICE","SUBMITTED","NONE"
"BANDUNG","AGU","3213200401","GMP BANDUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213200105","HALAMAN PLASA TELKOM SUPRATMAN","HALAMAN","OPEN","NONE"
"BANDUNG","SEP","3213201003","HALAMAN STO CIJAURA","HALAMAN","OPEN","NONE"
"BANDUNG","SEP","3213201102","HALAMAN STO HEGARMANAH","HALAMAN","SUBMITTED","NONE"
"BANDUNG","SEP","3213201203","HALAMAN STO KOPO","HALAMAN","OPEN","NONE"
"BANDUNG","SEP","3213201603","HALAMAN STO TEGALEGA","HALAMAN","OPEN","NONE"
"BANDUNG","SEP","3223201303","HALAMAN STO CILILIN","HALAMAN","SUBMITTED","NONE"
"BANDUNG","SEP","3223202304","HALAMAN STO SOREANG","HALAMAN","SUBMITTED","NONE"
"BANDUNG","SEP","3213200103","GUDANG PLASA SUPRATMAN","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213200201","GUDANG ARNET AHMAD YANI","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213200401F","GMP BANDUNG","SARANA OLAHRAGA","SUBMITTED","NONE"
"BANDUNG","SEP","3213200403","GUDANG GMP BANDUNG","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3213200405","GMP BANDUNG","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3213200702","GUDANG PLASA SUMEDANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3213200902","RUMDIN WASTUKENCANA","UTILITY","OPEN","NONE"
"BANDUNG","SEP","3213201402","GUDANG STO SUMEDANG","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213201502","GUDANG TANJUNGSARI","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213202201","GUDANG TELKOM CISANGGARUNG","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213202202","TELKOM CISANGGARUNG","UTILITY","OPEN","NONE"
"BANDUNG","SEP","3213202302","GUDANG DHARMA WANITA","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213202502","GUDANG WITEL BANDUNG","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213202504","WITEL BANDUNG","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3213203703","GUDANG GT SEKAR","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213204704","GT BENGAWAN 81","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213205228","GUDANG GEDUNG POOL KBM","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3213205229","GUDANG GEDUNG AULA","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223200102","GUDANG WITEL BANDUNG BARAT","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223200202","EKS CATEL PANGALENGAN","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3223200303","EKS CATEL PADALARANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3223200401","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3223200402","GUDANG ARSIP DAYEUH KOLOT / EKS NETRE","GUDANG","OPEN","NONE"
"BANDUNG","SEP","3223200602","GUDANG PLASA BAROS","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223200603","PLASA BAROS","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3223201403","GUDANG STO CIMAHI","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223201702","GUDANG CIWIDEY","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223201902","GUDANG LEMBANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223201903","STO LEMBANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3223202003","GUDANG MAJALAYA","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223202302","GUDANG SOREANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223202602","STO BOJONGWARU","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3223202603","GUDANG BOJONGWARU","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223202802","GUDANG MESS PALAPA SOREANG","GUDANG","SUBMITTED","NONE"
"BANDUNG","SEP","3223202804","MESS PALAPA SOREANG","UTILITY","SUBMITTED","NONE"
"BANDUNG","SEP","3213200102","PLASA SUPRATMAN","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213200104","GEDUNG KOSONG PLASA SUPRATMAN","IDLE","OPEN","NONE"
"BANDUNG","SEP","3213200202","ARNET AHMAD YANI","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213200401D","GMP BANDUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213200401E","GMP BANDUNG","RUANG IBADAH","SUBMITTED","NONE"
"BANDUNG","SEP","3213200404","GEDUNG KOSONG GMP BANDUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","SEP","3213200701","PLASA SUMEDANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213200703","GEDUNG KOSONG PLASA SUMEDANG","IDLE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201001","PLASA / STO CIJAURA","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213201002","GEDUNG KOSONG CIJAURA","IDLE","OPEN","NONE"
"BANDUNG","SEP","3213201101","STO HEGARMANAH","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201201","PLASA / STO KOPO","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201202","GEDUNG KOSONG KOPO","IDLE","OPEN","NONE"
"BANDUNG","SEP","3213201301","STO SADANG SERANG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201401","STO SUMEDANG","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213201501","STO TANJUNGSARI","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213201601","STO TEGALEGA","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213201602","GEDUNG KOSONG TEGALEGA","IDLE","OPEN","NONE"
"BANDUNG","SEP","3213201701","STO TURANGGA","OFFICE","OPEN","NONE"
"BANDUNG","SEP","3213201801","STO UJUNG BERUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201802","PLASA UJUNG BERUNG","OFFICE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201803","GEDUNG KOSONG PLASA UJUNG BERUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","SEP","3213201804","GEDUNG KOSONGSTO UJUNG BERUNG","IDLE","SUBMITTED","NONE"
"BANDUNG","SEP","3213202301","TELKOM DHARMA WANITA","OFFICE","OPEN","NONE"
